timestamp,features_used,model,rmse,mae,mape,notes
2026-08-12 23:59,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, rainfall, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,438.8,294.5,11.3,rainfall版本B(當天/模擬預報值)，重測(修正正規化bug後)
2026-08-12 23:59,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, rainfall, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,415.7,278.9,10.69,rainfall版本B(當天/模擬預報值)，重測(修正正規化bug後)
2026-08-13 00:01,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, rainfall, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,438.8,294.5,11.3,rainfall版本B(當天/模擬預報值)，重測(修正正規化bug後)
2026-08-13 00:01,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, rainfall, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,415.7,278.9,10.69,rainfall版本B(當天/模擬預報值)，重測(修正正規化bug後)
2026-08-13 00:09,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,438.9,287.6,10.82,確定天氣特徵全部無幫助，回到基準版本存檔，準備做節日重要性分析
2026-08-13 00:09,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,404.3,269.2,10.34,確定天氣特徵全部無幫助，回到基準版本存檔，準備做節日重要性分析
2026-08-13 00:12,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist",RNN,441.9,286.6,10.84,精簡版：只留7個貢獻明顯的節日(中元/清明/雙十/中秋/七夕/冬至/春節)，驗證節日重要性分析結論
2026-08-13 00:12,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist",LSTM,401.8,269.7,10.36,精簡版：只留7個貢獻明顯的節日(中元/清明/雙十/中秋/七夕/冬至/春節)，驗證節日重要性分析結論
2026-08-13 00:15,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rain_flag",RNN,441.2,297.3,11.56,精簡版基準(7節日)+rain_flag(當天/模擬預報值)，在新基準上重測天氣特徵
2026-08-13 00:15,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_中元_day, holiday_中元_dist, holiday_清明_day, holiday_清明_dist, holiday_雙十_day, holiday_雙十_dist, holiday_中秋_day, holiday_中秋_dist, holiday_七夕_day, holiday_七夕_dist, holiday_冬至_day, holiday_冬至_dist, holiday_春節_day, holiday_春節_dist, rain_flag",LSTM,418.9,265.7,10.01,精簡版基準(7節日)+rain_flag(當天/模擬預報值)，在新基準上重測天氣特徵
